src_id,search_strat_name,search_strat_id,article_id,paragraph_txt
1,Raysor Formation,,55b735f3e13823bd29ba8028,"Cross Member (Santee Limestone) 1. Eocene, middle (Claibornian) 2. South Carolina (C) 3. Ward, L. W., and others, 1979, Stratigraphic revision of Eocene, Oligocene and lower Miocene formations of South Carolina: South Carolina Geol. Survey Geol. Notes, v. 23, no. 1, p. 8-9 4. Biomicrite (limestone) 5. Grayish-yellow 6. 1 m, range 1-41 m 7. Bryozoan-brachiopod-bivalve biomicrite, deeply burrowed 9. Unconformably overlies Moultrie Member (Santee Limestone); unconformably underlies Raysor Formation at type section, or Harleyville Member (Cooper Formation) 10. Type section: Section at Martin Marietta Co. Berkeley quarry, 2.4 km S of Route 6 and Route 59 intersection, Chicora 15' quadrangle, Berkeley County, S.C. Named for nearby town of Cross."
2,Raysor Formation,,557c3ad1e138239225f86760,"The most frequently applied names for Pliocene units in the Atlantic Coastal Plain are the Yorktown Formation (Clark and Miller, 1906; LeGrand and Brown, 1955; Akers, 1972; Hazel, 1971, 1977, 1983) from Virginia to North Carolina and the Duplin Formation (Cooke, 1936, 1945; Akers, 1972; Hazel, 1977) from North Carolina to Florida. Blackwelder and Ward (1979) equated the Duplin only with the middle part of the Yorktown (type area), proposed substituting the names Yorktown and Raysor for Duplin in South Carolina, and suggested that the name Duplin be abandoned. Cronin and others (1984) correlated the type Duplin (Natural Well, N.C.) with the upper part of the Yorktown Formation, and they consider both units to be late Pliocene in age. Both the Raysor Formation and the Givhans beds, which are local lithic names used in this paper, are correlated faunally to parts of the Yorktown Formation."
3,Raysor Formation,,55b736e4e13823bd29ba802f,"FIGURE 34.-Known distribution of Pliocene localities in the Charleston, S.C., and inner coastal plain area and representative values for quartz sand fraction to total sand fraction (see table 4). Uncircled number indicates location name from table 4; circled number indicates ratio of insoluble sand to total sand.
CONTRIBUTIONS TO STRATIGRAPHY term Raysor Formation should be restricted to lower Pliocene biocalcarenites with a quartzose matrix, whereas the term Goose Creek Limestone should be restricted to lower to middle Pliocene biocalcarenites with a calcareous matrix.
The physical stratigraphic relations between the Raysor Formation and the Goose Creek Limestone are presently unclear. The relative sparsity of quartz, kaolinite, hematite, and aragonite in the Goose Creek Limestone at Givhan's Ferry, as compared to the Raysor Formation at Raysor Bridge, Canadys Bridge, and Cross quarry, is striking. This difference is much greater than any seen within the known outcrop range of either unit (fig. 34). It is plausible that these two units represent onshore and offshore facies, respectively, of a single depositional cycle that graded very rapidly from a nearshore clastic phase to a shelf carbonate phase. For example, rapid gradation from a nearshore terrigenous phase to a shelf carbonate phase over a distance of less than 20 km has been documented for the Holocene sediments off the coast of Belize (Purdy and others, 1975)."
4,Raysor Formation,,55b736e4e13823bd29ba802f,"Ward indicates that such shells were the source of the matrix that Ward and Blackwelder described, but this material is atypical of the matrix collected in bulk quantity. Generally, the yellowish-gray-green shell bed at the Berkeley quarry locality also has abundant kaolinite, hematite, and aragonite and has a shell-rich matrix that contains 60 percent medium-grained quartz sand. Thus, on the basis of bulk matrix, the Berkeley quarry, Canadys Bridge, and original Raysor Bridge localities appear to be lithologically equivalent, but the proposed neostratotype for the Raysor Formation at Givhan's Ferry has a quite different lithology that is readily referred to the Goose Creek Limestone as Sloan originally suggested. Therefore, since the neostratotype proposed by Blackwelder and Ward (1979) would both totally alter the concept of the Raysor as originally established by Cooke (1936) and directly conflict with the concept of the ""Goose Creek phase"" (herein proposed as the Goose Creek Limestone) as established originally by Sloan (1908), the neostratotype of the Raysor Formation should be abandoned. The"
5,Raysor Formation,,58cb666bcf58f10af549ae27,"Such an age range for the phosphate-beds ""fauna"" is consistent with the age range of possible source beds in the Charleston area. These include the late Eocene portion of the Cooper Group; the early Chattian Ashley Formation (correlated with P20-21, NP 24 and possibly NP 23; Weems and Lemon, 1984; Weems, pers. comm.); the middle Chattian Chandler Bridge Formation; the late Chattian and/or Aquitanian Edisto Formation; the Burdigalian Marks Head Formation; a middle-late Miocene unit (the ""Rudd Branch beds"" of Weems et al., 1987) equivalent to the Choptank, the St. Marys, or the lower Eastover Formation of Ward and Blackwelder (1980); and the early Pliocene (Yorktown-equivalent) Raysor Formation and Goose Creek Limestone, plus various Pleistocene deposits (Weems, pers. comm.). Therefore it is possible that the sirenian fossils from the mining operations along the Ashley, Cooper, and Wando Rivers might include forms of almost any age from late Eocene to Pleistocene."
6,Raysor Formation,,557c3ad1e138239225f86760,"The Givhans beds, an informal unit in this paper named from the Pliocene beds exposed just north of Givhans Ferry on the east bank of the Edisto River, Dorchester County, S.C., are composed of fine- to medium-grained quartzose calcarenite. Aragonite is absent in these beds, but molds and casts of aragonitic mollusk shells are present. The basal contact is below a 1to 2-cm-thick bed of black, rounded phosphate pebbles. The unit is up to 7 m thick and is known from only a few outcrops and subsurface localities in the Charleston area. Although the unit is lithically distinct from the Raysor Formation, Blackwelder and Ward (1979) and Cronin (this volume) cannot separate this unit temporally from the Raysor Formation."
7,Raysor Formation,,557c3ad1e138239225f86760,"In spite of usually poor preservation, low diversity, and low abundance, calcareous nannofossils can be used to date Pliocene and Pleistocene South Carolina Coastal Plain marine sediments. When nannofossil data are used in conjunction with magnetic polarity, uranium dating, and planktonic foraminiferal information, fairly precise results are obtained for most units.
The following ages were determined for the marine units examined in South Carolina. The Raysor Formation and associated beds are early Pliocene in age in Zones NN 12-NN 15, 5.2 to 3.9 Ma. The Goose Creek Limestone and associated beds may span the early-late Pliocene boundary in Zones NN 15-NN 16, 3.9 to 3.2 Ma. The Bear Bluff Formation is a late Pliocene unit occurring somewhere within Zones NN 16-NN 18, 3.0 to 1.75 Ma. The Waccamaw(?) Formation occurs in early Pleistocene Zones NN 19a and (or) NN 19b, 1.7 to 1.2 Ma. The Penholoway Formation is in Pleistocene Zone NN 19d,"
8,Raysor Formation,,55b7eb53e13823bd29ba8456,"Santee Limestone divided into (ascending): Moultrie and Cross Member (both new names). Cross correlates with Gosport Sand of Alabama and with Comfort and Spring Garden Members of Castle Hayne Formation in southeastern North Carolina. Unconformably overlies Moultrie Member (new name) of Santee and underlies Raysor Formation (now reinstated)- at stratotype.
Curtis Member (redefined) (of Stump Formation) Middle Jurassic (Callovian) central and northeastern Utah, southeastern Idaho, southwestern Wyoming, and northwesternmost Colorado
Pipiringos, G. N., and Imlay, R. W., 1979, Lithology and subdivisions of the Jurassic Stump Formation in southeastern Idaho and adjoining areas: U.S. Geological Survey Professional Paper 1035-C, 25 p.
Reduced in rank to Curtis Member, assigned as lower of two named members of Stump Formation, and geographically extended from central and northeastern Utah and northwesternmost Colorado into: southeastern Idaho and southwestern Wyoming (where Curtis not affiliated with San Rafael Group). Overlies Preuss Sandstone; underlies Redwater Member of Stump. Age of Curtis changed everywhere from Late Jurassic to: Middle Jurassic"
10,Raysor Formation,,558d4562e13823109f3edd0a,"HYDROGEOLOGY defined; for example, Herrick (1961) grouped it with Pleistocene and Holocene deposits he identified in wells of southeastern Georgia.
The Yorktown Formation (Blackwelder and Ward, 1979) is the name used to describe fossiliferous, sandy and silty limestone and calcareous silty sand of Pliocene age that occur in South Carolina as erosional outliers. The Yorktown is biostratigraphically correlative with shelly calcareous outliers of the Raysor Formation (Blackwelder and Ward, 1979), which can be distinguished from the Yorktown by its greater clastic component. The Goose Creek Limestone (Weems and others, 1982) of early to middle Pliocene age is a fine- to coarse-grained, quartzose, phosphatic, sparsely shelly calcarenite and occurs in outcrop and in the shallow subsurface of Charleston and Berkeley Counties, S.C. It is identified by its calcareous matrix as compared with the quartzose matrix of the Raysor Formation."
12,Raysor Formation,,55b7eb53e13823bd29ba8456,"Ward, L. W., Blackwelder, B. W., Gohn, G. S., and Poore, R. Z., 1979, Stratigraphic revision of Eocene, Oligocene, and lower Miocene formations of South Carolina: South Carolina Division of Geology Geologic Notes, v. 23, no. I, p. 2-32.
Divided into (ascending): Moultrie and Cross Members (both new names). Moultrie correlates with Lisbon Formation in Alabama, New Hanover Member of Castle Hayne Formation in southeastern North Carolina, and upper part of Nanjemoy Formation in eastern Virginia. Cross correlates with Gosport Sand of Alabama and with Comfort and Spring Garden Members of Castle Hayne Formation in southeastern North Carolina. Santee overlies Black Mingo Formation and underlies Raysor Formation (now reinstated)."
