"id","strat_name"
1,"Abbott"
2,"Abercrombie"
3,"Abernaki"
4,"Able Gap"
5,"Abo"
6,"Abrigo"
7,"Ackerman"
8,"Ada"
9,"Adaville"
10,"Admiral"
11,"Aguja"
12,"Al Rose"
13,"Alacran Mountain"
14,"Albee"
15,"Alburnett"
16,"Alderton"
17,"Aldwell"
18,"Alegria"
19,"Aleman"
20,"Ali Malina"
21,"Allegheny"
22,"Allen Ridge"
23,"Allentown"
24,"Alligator Back"
25,"Allamoore"
26,"Almond"
27,"Alsea"
28,"Altamont"
29,"Alto"
30,"Altyn"
31,"Amasa"
33,"Amherstburg"
34,"Amsden"
35,"Anacacho Limestone"
36,"Anahuac"
37,"Anakeesta"
38,"Anastasia"
39,"Andrews"
40,"Aneth"
41,"Animas"
42,"Anita"
44,"Ankareh"
45,"Annona Chalk"
46,"Annville"
47,"Antelope Range"
48,"Antero"
49,"Antes"
50,"Antietam"
51,"Antlers"
52,"Apache Canyon"
53,"Aplington"
54,"Appekunny"
55,"Aquia"
56,"Araby"
57,"Arapahoe"
59,"Arco Hills"
60,"Arcturus"
61,"Arikaree"
62,"Arkadelphia Marl"
63,"Arkose Ridge"
64,"Arline"
65,"Aroostook River"
66,"Arroyo"
67,"Arroyo Hondo"
68,"Artist Drive"
69,"Arvison"
70,"Arvonia"
71,"Ash Hollow"
72,"Ashe"
73,"Ashern"
74,"Ashlock"
75,"Astoria"
76,"Atascadero"
77,"Atherton"
78,"Atkinson"
79,"Atoka"
80,"Au Train"
81,"Auburn Shale"
82,"Augusta Mountain"
83,"Aura"
84,"Aux Vases"
85,"Axemann"
86,"Aycross"
87,"Aziscohos"
88,"Baca"
89,"Bachelor"
90,"Bacons Castle"
91,"Bailey"
92,"Bainbridge"
93,"Baird"
94,"Baker Hill"
95,"Bakken"
96,"Bald Eagle"
97,"Balmville"
98,"Bandera Shale"
99,"Banner"
100,"Banquereau"
101,"Barnett"
102,"Barrel Spring"
103,"Barrow"
105,"Barstow"
107,"Bascom"
108,"Bashi"
109,"Bass River"
110,"Bateman"
111,"Batesville"
112,"Bathtub"
113,"Battle"
114,"Battle Spring"
115,"Battleship Wash"
116,"Bautista"
117,"Baylis"
118,"Bays"
119,"Beacon Flat"
120,"Bear Bluff"
121,"Bear Lake"
122,"Bear River"
123,"Bear Springs"
124,"Beartooth Butte"
125,"Beartooth"
126,"Beauchamp Point"
127,"Beaucoup"
128,"Beaufort"
129,"Beaumont"
130,"Beaver Creek"
131,"Beaverdam"
132,"Bedford Canyon"
133,"Beech River"
134,"Beeman"
135,"Begg"
136,"Beirdneau"
137,"Belden"
138,"Belgrade"
139,"Belkofski"
140,"Bell Canyon"
141,"Bell Island"
142,"Belle Fourche"
143,"Belle Plains"
144,"Bellefonte"
145,"Beluga"
146,"Benbrook"
147,"Benner"
148,"Benner Hill"
149,"Bentley"
150,"Berg Creek"
151,"Berino"
152,"Berkshire Valley"
153,"Bern"
154,"Bernal"
155,"Bernard"
156,"Bertie"
157,"Berwick"
158,"Bethel"
159,"Bidahochi"
160,"Big Blue"
161,"Big Clifty"
162,"Big Cotton Indian"
163,"Big Cottonwood"
164,"Big Hill"
165,"Big Pole"
166,"Big Skunk"
167,"Big Snowy"
168,"Bigford"
169,"Bignell"
170,"Bill Arp"
171,"Bingham Mine"
172,"Bird Spring"
173,"Birdbear"
175,"Bisher"
176,"Bishop Cap"
177,"Bivouac"
178,"Biwabik Iron"
179,"Black Creek"
180,"Black Dyke"
181,"Black Island"
182,"Black Mingo"
183,"Black Peaks"
184,"Black River"
185,"Blackford"
186,"Blackgum"
187,"Blackjack Creek Limestone"
188,"Blackleaf"
189,"Blacksmith"
190,"Blackwater Draw"
191,"Blaine"
192,"Blaine Gypsum"
193,"Blair"
194,"Blakeley Harbor"
195,"Blanco Basin"
196,"Blanco"
197,"Blanding"
198,"Blawn Wash"
199,"Blind Brook"
200,"Blind Bull"
202,"Bloomington"
203,"Bloomsburg"
204,"Bloyd"
205,"Bluebird Mountain"
206,"Bluefield"
207,"Bluestone"
208,"Bluff Sandstone"
209,"Bluff Mesa"
210,"Bluffer Pond"
211,"Blufftown"
212,"Boggy"
213,"Bois Blanc"
214,"Bolado Park"
215,"Bonanza King"
216,"Bond"
217,"Bone Island"
218,"Bonner Springs"
219,"Bonneterre"
220,"Bony Falls"
221,"Boone"
222,"Boquillas"
223,"Borden"
224,"Bossardville"
225,"Bossier"
226,"Bouse"
227,"Bowen"
228,"Bowser"
229,"Box Butte"
230,"Boyer Ranch"
231,"Brad"
232,"Bragdon"
233,"Brallier"
234,"Branchville"
235,"Brandywine"
236,"Brassfield"
237,"Brasstown"
238,"Brazil"
239,"Breathitt"
240,"Brian Head"
241,"Bridger"
242,"Bridgeton"
243,"Bridwell"
244,"Brightseat"
245,"Brisbois"
246,"Briscoe"
247,"Bromide"
248,"Broom Creek"
249,"Browns Hole"
250,"Browns Park"
251,"Brownsport"
252,"Brownstown"
253,"Brule"
254,"Bruneau"
255,"Brunswick"
256,"Brushy Canyon"
257,"Bucatunna"
258,"Buck Spring"
259,"Buckner"
260,"Buckskin Mountain"
261,"Buda Limestone"
262,"Budden Canyon"
263,"Buffalo Springs"
264,"Buffalo Wallow"
265,"Bug"
266,"Bull Fork"
267,"Bull Run"
268,"Bullion Creek"
269,"Burgner"
270,"Burke"
271,"Burro Canyon"
272,"Bursum"
273,"Butterfield Peaks"
274,"Byram"
275,"Caballero"
276,"Caballos"
277,"Cabot Head"
278,"Cabrillo"
279,"Caddell"
280,"Caddo Creek"
281,"Cadiz"
282,"Calabasas"
283,"Calhoun Shale"
284,"Calico Bluff"
285,"Callaway"
286,"Caloso"
287,"Calvert Bluff"
288,"Calvert"
289,"Camden"
290,"Camillus"
291,"Camp Creek"
292,"Camp Davis"
293,"Camp Rice"
294,"Campagrande"
295,"Campito"
296,"Canaan Peak"
297,"Candelaria"
298,"Candler"
299,"Cane River"
300,"Cane Spring"
301,"Canepatch"
302,"Cannery"
303,"Cannonball"
304,"Canoe"
305,"Cantwell"
306,"Canutillo"
308,"Capay"
309,"Cape Elizabeth"
310,"Cape Fear"
311,"Cape May"
312,"Capistrano"
313,"Cararra"
314,"Carbon Ridge"
315,"Carbondale"
316,"Carlile Shale"
317,"Carlin Canyon"
318,"Carlisle Center"
319,"Carlotta"
320,"Carmel"
321,"Carmelo"
322,"Carpenter Pond"
323,"Carrabassett"
324,"Carrara"
325,"Carrizo"
327,"Carwood"
328,"Carys Mill"
329,"Cascaden"
330,"Caseyville"
331,"Casitas"
332,"Casper"
333,"Cass"
334,"Cassa"
335,"Castaic"
336,"Castle Hayne"
337,"Catahoula"
338,"Cataract"
339,"Cathedral Cliffs"
340,"Cathedral Mountain"
341,"Catheys"
342,"Catoctin"
343,"Catron"
344,"Catskill"
345,"Catskin"
346,"Cedar Keys"
347,"Cedar Mountain"
348,"Cedar Valley"
349,"Chadakoin"
350,"Chadron"
351,"Chaffee"
352,"Chainman"
353,"Chalk Hills"
354,"Chambersburg"
355,"Chamisal"
356,"Chanac"
357,"Chandler Falls"
358,"Chandler"
359,"Chandler Pond"
360,"Chanute"
361,"Charging Eagle"
362,"Charles"
363,"Chase Brook"
364,"Chase Lake"
365,"Chatham Hill"
366,"Chatsworth"
367,"Chattahoochee"
368,"Chazy"
370,"Chemung"
371,"Cherry Canyon"
372,"Cherryvale"
373,"Chickaloon"
374,"Chickasawhay"
375,"Chickies"
376,"Chicopee"
377,"Chignik"
378,"China Mountain"
379,"Chinitna"
380,"Chinle"
381,"Chipman"
382,"Chisana"
383,"Chisos"
384,"Chititu"
385,"Chiuli Shaik"
386,"Chloropagus"
387,"Chopawamsic"
388,"Choptank"
389,"Chota"
390,"Chowan River"
391,"Choza"
